Detector;Descriptor;Image No;Detection Time;Matched Keys;Avg. NBH. dist.;Descriptor ext. time
AKAZE;BRIEF;image5;124.349507;163;7.733185;1.014141;
AKAZE;BRIEF;image6;129.543787;164;7.688030;0.955660;
AKAZE;BRIEF;image7;130.813375;173;7.738779;1.410443;
AKAZE;BRIEF;image8;129.989333;175;7.826125;1.019800;
AKAZE;BRIEF;image9;130.974669;177;7.815552;1.033803;
AKAZE;BRIEF;image10;132.491707;179;7.885754;1.040678;
AKAZE;ORB;image1;133.519177;166;7.729172;21.085586;
AKAZE;ORB;image2;131.691163;157;7.490204;16.172569;
AKAZE;ORB;image3;135.737948;161;7.452113;5.244791;
AKAZE;ORB;image4;127.426083;155;7.575220;13.117869;
AKAZE;ORB;image5;124.266721;163;7.733185;4.932633;
AKAZE;ORB;image6;124.381362;164;7.688030;14.489531;
AKAZE;ORB;image7;132.732453;173;7.738779;11.762265;
AKAZE;ORB;image8;133.843089;175;7.826125;12.305495;
AKAZE;ORB;image9;125.317337;177;7.815552;12.329169;
AKAZE;ORB;image10;126.664579;179;7.885754;14.890116;
AKAZE;FREAK;image1;122.424881;166;7.729172;56.350153;
AKAZE;FREAK;image2;129.659114;157;7.490204;58.646565;
AKAZE;FREAK;image3;153.255018;161;7.452113;57.410917;
AKAZE;FREAK;image4;121.507371;155;7.575220;59.899744;
AKAZE;FREAK;image5;121.034843;163;7.733185;58.819895;
AKAZE;FREAK;image6;121.800353;164;7.688030;60.012402;
AKAZE;FREAK;image7;124.897518;173;7.738779;59.470431;
AKAZE;FREAK;image8;128.997936;175;7.826125;55.675611;
AKAZE;FREAK;image9;124.814721;177;7.815552;58.666655;
AKAZE;FREAK;image10;125.558903;179;7.885754;57.373895;
AKAZE;AKAZE;image1;124.566137;166;7.729172;103.468154;
AKAZE;AKAZE;image2;126.298797;157;7.490204;100.892410;
AKAZE;AKAZE;image3;119.636426;161;7.452113;102.776273;
AKAZE;AKAZE;image4;122.354730;155;7.575220;101.357336;
AKAZE;AKAZE;image5;114.216314;163;7.733185;102.501507;
AKAZE;AKAZE;image6;125.766254;164;7.688030;105.225214;
AKAZE;AKAZE;image7;124.895942;173;7.738779;106.145786;
AKAZE;AKAZE;image8;127.115755;175;7.826125;103.792507;
AKAZE;AKAZE;image9;123.291924;177;7.815552;110.729250;
AKAZE;AKAZE;image10;126.903039;179;7.885754;113.452761;
AKAZE;SIFT;image1;121.128200;166;7.729172;42.084989;
AKAZE;SIFT;image2;108.943023;157;7.490204;42.168649;
AKAZE;SIFT;image3;124.663900;161;7.452113;45.145659;
AKAZE;SIFT;image4;131.466875;155;7.575220;51.009919;
AKAZE;SIFT;image5;115.827462;163;7.733185;42.044676;
AKAZE;SIFT;image6;147.315531;164;7.688030;52.022442;
AKAZE;SIFT;image7;121.177222;173;7.738779;43.286815;
AKAZE;SIFT;image8;130.347804;175;7.826125;43.423888;
AKAZE;SIFT;image9;130.207884;177;7.815552;44.378699;
AKAZE;SIFT;image10;120.657345;179;7.885754;44.998029;
SIFT;BRIEF;image1;182.506682;138;4.984712;0.872848;
SIFT;BRIEF;image2;182.116025;132;5.089799;0.930863;
SIFT;BRIEF;image3;178.394293;124;4.939265;0.869568;
SIFT;BRIEF;image4;182.686197;137;4.731220;0.976298;
SIFT;BRIEF;image5;177.085525;134;4.719594;0.945494;
SIFT;BRIEF;image6;181.326083;140;4.683967;0.918025;
SIFT;BRIEF;image7;173.056492;137;5.407970;0.909834;
SIFT;BRIEF;image8;178.161003;148;4.621866;1.002615;
